FIELD NAME ,TYPE   ,LENGTH    ,DESCRIPTION,VALUES,Notes
fELIX10,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX11,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX12,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX13,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX14,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX15,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX16,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX17,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX18,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX19,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX20,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX21,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX22,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX23,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX24,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX25,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX26,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX27,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX28,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX29,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX30,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
fELIX31,Num,8,1 = at least one Inpatient or Outpatient dx claim in the 365 days prior to disenrollment,1 or 0,
ELIX_SCORE,Num,3,ELIX_SCORE=( 7*fELIX1 + 5*fELIX2  - fELIX3 + 4*E_CIR +       2*fELIX5 + 7*fELIX8 + 6*fELIX9 + 3*fELIX10 + 5*fELIX14 + 11*fELIX15 + 9*fELIX18 + 12*fELIX19 + 4*fELIX20 + 3*fELIX22 - 4*fELIX23 + 6*fELIX24 + 5*,numerical integar value,
